title,year,runtime,rating,boxoffice,genre,rated
Inception,2010.0,148 min,8.8,$292576195,"Action, Adventure, Sci-Fi",PG-13
Avatar,2009.0,162 min,7.9,$2923706026,"Action, Adventure, Fantasy",PG-13
The Room,2003.0,99 min,3.9,,Drama,R
Inception,2010.0,148 min,8.8,$292576195,"Action, Adventure, Sci-Fi",PG-13
Tenet,,150 min,7.3,,"Action, Sci-Fi, Thriller",PG-13
The Matrix,1999.0,136 min,8.7,$463517383,"Action, Sci-Fi",R
The Shawshank Redemption,1994.0,142 min,9.3,$28341469,Drama,R
Pulp Fiction,1994.0,154 min,8.9,$213928762,"Crime, Drama",R
The Dark Knight,2008.0,152 min,9.0,$1006102277,"Action, Crime, Drama",PG-13
Fight Club,1999.0,139 min,8.8,$101209702,Drama,R
Forrest Gump,1994.0,142 min,8.8,$678151312,"Drama, Romance",PG-13
The Matrix,1999.0,136 min,8.7,$463517383,"Action, Sci-Fi",R
Interstellar,2014.0,169 min,8.7,$701729206,"Adventure, Drama, Sci-Fi",PG-13
The Godfather,1972.0,175 min,9.2,$250341816,"Crime, Drama",R
Parasite,2019.0,132 min,8.5,$263136194,"Drama, Thriller",R
Spider-Man,2002.0,121 min,7.4,$407022860,"Action, Adventure, Sci-Fi",PG-13
Spider-Man,2002.0,121 min,7.4,$407022860,"Action, Adventure, Sci-Fi",PG-13
Spider-Man,2002.0,121 min,7.3,$407022860,"Action, Adventure, Sci-Fi",PG-13
Joker,2019.0,122 min,8.4,$1078958294,"Crime, Drama, Thriller",R
Avengers: Endgame,2019.0,181 min,8.4,$2799439100,"Action, Adventure, Drama",PG-13
Titanic,1997.0,194 min,7.9,$2264743305,"Drama, Romance",PG-13
The Lion King,1994.0,88 min,8.5,$968511805,"Animation, Adventure, Drama",G
Toy Story,1995.0,81 min,8.3,$394436586,"Animation, Adventure, Comedy",G
Finding Nemo,2003.0,100 min,8.2,$940352645,"Animation, Adventure, Comedy",G
Up,2009.0,96 min,8.3,$735099102,"Animation, Adventure, Comedy",PG
WALL-E,2008.0,98 min,8.4,$532512171,"Animation, Adventure, Family",G
Coco,2017.0,105 min,8.4,$807725453,"Animation, Adventure, Drama",PG
Ratatouille,2007.0,111 min,8.1,$620702951,"Animation, Comedy, Family",G
The Incredibles,2004.0,115 min,8.0,$631607053,"Animation, Action, Adventure",PG
Inside Out,2015.0,95 min,8.1,$857611174,"Animation, Adventure, Comedy",PG
Monsters Inc,2001.0,92 min,8.1,$577425734,"Animation, Adventure, Comedy",G
A Quiet Place,2018.0,90 min,7.5,$340952971,"Drama, Horror, Sci-Fi",PG-13
Get Out,2017.0,104 min,7.7,$255457574,"Horror, Mystery, Thriller",R
Us,2019.0,116 min,6.8,$255105930,"Horror, Mystery, Thriller",R
Hereditary,2018.0,127 min,7.3,$80220884,"Drama, Horror, Mystery",R
Midsommar,2019.0,148 min,7.1,$47972,"Drama, Horror, Mystery",R
The Conjuring,2013.0,112 min,7.5,$319494638,"Horror, Mystery, Thriller",R
It,2017.0,135 min,7.3,$701796444,"Horror, Thriller",R
Annihilation,2018.0,115 min,6.8,$43269589,"Adventure, Drama, Horror",R
Blade Runner 2049,2017.0,164 min,8.0,$267691332,"Action, Drama, Mystery",R
Dune,2021.0,155 min,8.0,$402027830,"Action, Adventure, Drama",PG-13
Mad Max: Fury Road,2015.0,120 min,8.1,$380419312,"Action, Adventure, Sci-Fi",R
John Wick,2014.0,101 min,7.4,$88761661,"Action, Crime, Thriller",R
Baby Driver,2017.0,113 min,7.6,$226945087,"Action, Crime, Drama",R
The Revenant,2015.0,156 min,8.0,$533000000,"Action, Adventure, Drama",R
Arrival,2016.0,116 min,7.9,$203388186,"Drama, Mystery, Sci-Fi",PG-13
Ex Machina,2014.0,108 min,7.7,$36869169,"Drama, Mystery, Sci-Fi",R
Her,2013.0,126 min,8.0,$48000000,"Drama, Romance, Sci-Fi",R
Gravity,2013.0,91 min,7.7,$723192705,"Drama, Sci-Fi, Thriller",PG-13
The Martian,2015.0,144 min,8.0,$630620916,"Adventure, Drama, Sci-Fi",PG-13
Unknown Movie,2025.0,90 min,9.9,$999999999999,Action,PG-13
Bad Data Movie,-500.0,abc min,15.0,-50000000,Unknown,XX
,2020.0,100 min,7.5,$100000000,Drama,R
Another Movie,2010.0,,7.0,$50000000,Comedy,PG-13
Test Film,2015.0,95 min,,,Drama,Not Rated
Old Silent Film,1920.0,45 min,6.5,,Drama,Not Rated
Future Movie,2030.0,120 min,8.0,$0,Sci-Fi,PG-13
Amelie,2001.0,122 min,8.3,$174200000,"Comedy, Romance",R
Leon: The Professional,1994.0,110 min,8.5,$45300000,"Action, Crime, Drama",R
City of God,2002.0,130 min,8.6,$30680000,"Crime, Drama",R
Spirited Away,2001.0,125 min,8.6,$395800000,"Animation, Adventure, Family",PG
Your Name,2016.0,106 min,8.4,$380140000,"Animation, Drama, Fantasy",PG
Akira,1988.0,124 min,8.0,$553171,"Animation, Action, Drama",R
Oldboy,2003.0,120 min,8.4,$15000000,"Action, Drama, Mystery",R
The Handmaiden,2016.0,145 min,8.1,$37700938,"Drama, Mystery, Romance",NR
Memories of Murder,2003.0,132 min,8.1,$1200000,"Crime, Drama, Mystery",NR
Seven Samurai,1954.0,207 min,8.6,$318000,"Action, Drama",NR
Rashomon,1950.0,88 min,8.2,$95000,"Crime, Drama, Mystery",NR
Cinema Paradiso,1988.0,155 min,8.5,$13000000,"Drama, Romance",R
Life Is Beautiful,1997.0,116 min,8.6,$230000000,"Comedy, Drama, Romance",PG-13
The Secret in Their Eyes,2009.0,129 min,8.2,$35100000,"Drama, Mystery, Thriller",R
Pan's Labyrinth,2006.0,118 min,8.2,$83300000,"Drama, Fantasy, War",R
The Lives of Others,2006.0,137 min,8.4,$77300000,"Drama, Mystery, Thriller",R
Amores Perros,2000.0,154 min,8.0,$20900000,"Drama, Thriller",R
Y Tu Mama Tambien,2001.0,106 min,7.7,$33600000,"Drama, Romance",R
Roma,2018.0,135 min,7.7,$5000000,Drama,R
The Diving Bell and the Butterfly,2007.0,112 min,8.0,$19800000,"Biography, Drama",PG-13
Waltz with Bashir,2008.0,90 min,8.0,$11300000,"Animation, Biography, Documentary",R
The Act of Killing,2012.0,159 min,8.2,$486919,Documentary,NR
Jiro Dreams of Sushi,2011.0,81 min,7.8,$2552478,Documentary,PG
Won't You Be My Neighbor,2018.0,94 min,8.4,$22800000,"Biography, Documentary",PG-13
Free Solo,2018.0,100 min,8.1,$28575000,"Documentary, Sport",PG-13
Searching for Sugar Man,2012.0,86 min,8.2,$3694236,"Biography, Documentary, Music",PG-13
20 Feet from Stardom,2013.0,91 min,7.5,$4940000,"Documentary, Music",PG-13
